2.1316 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
72.6123 	EXP 	grating: autoDraw = False
72.7167 	EXP 	window1: recordFrameIntervals = False
72.7194 	DATA 	Keypress: left
72.7292 	EXP 	fixation: autoDraw = False
72.7292 	EXP 	grating: autoDraw = False
72.7295 	EXP 	window1: recordFrameIntervals = False
73.7096 	EXP 	fixation: autoDraw = True
74.7123 	EXP 	fixation: autoDraw = False
74.7291 	EXP 	grating: autoDraw = True
74.7291 	EXP 	grating: tex = 'sin'
75.0290 	EXP 	grating: autoDraw = False
75.2472 	EXP 	window1: recordFrameIntervals = False
75.2484 	DATA 	Keypress: right
75.2622 	EXP 	fixation: autoDraw = False
75.2622 	EXP 	grating: autoDraw = False
75.2624 	EXP 	window1: recordFrameIntervals = False
76.2385 	EXP 	fixation: autoDraw = True
77.2458 	EXP 	fixation: autoDraw = False
77.2458 	EXP 	grating: autoDraw = True
77.2458 	EXP 	grating: tex = 'sin'
77.5457 	EXP 	grating: autoDraw = False
77.5999 	EXP 	window1: recordFrameIntervals = False
77.6025 	DATA 	Keypress: left
77.6124 	EXP 	fixation: autoDraw = False
77.6124 	EXP 	grating: autoDraw = False
77.6128 	EXP 	window1: recordFrameIntervals = False
78.5912 	EXP 	fixation: autoDraw = True
79.5956 	EXP 	fixation: autoDraw = False
79.6125 	EXP 	grating: autoDraw = True
79.6125 	EXP 	grating: tex = 'sin'
79.9119 	EXP 	grating: autoDraw = False
79.9308 	EXP 	window1: recordFrameIntervals = False
79.9323 	DATA 	Keypress: right
79.9452 	EXP 	fixation: autoDraw = False
79.9452 	EXP 	grating: autoDraw = False
79.9454 	EXP 	window1: recordFrameIntervals = False
80.9231 	EXP 	fixation: autoDraw = True
81.9290 	EXP 	fixation: autoDraw = False
81.9458 	EXP 	grating: autoDraw = True
81.9458 	EXP 	grating: tex = 'sin'
82.2305 	EXP 	window1: recordFrameIntervals = False
82.2320 	DATA 	Keypress: left
82.2451 	EXP 	grating: autoDraw = False
82.2451 	EXP 	fixation: autoDraw = False
82.2451 	EXP 	grating: autoDraw = False
82.2453 	EXP 	window1: recordFrameIntervals = False
83.2227 	EXP 	fixation: autoDraw = True
84.2286 	EXP 	fixation: autoDraw = False
84.2456 	EXP 	grating: autoDraw = True
84.2456 	EXP 	grating: tex = 'sin'
84.5453 	EXP 	grating: autoDraw = False
84.6164 	EXP 	window1: recordFrameIntervals = False
84.6192 	DATA 	Keypress: right
84.6290 	EXP 	fixation: autoDraw = False
84.6290 	EXP 	grating: autoDraw = False
84.6293 	EXP 	window1: recordFrameIntervals = False
85.6076 	EXP 	fixation: autoDraw = True
86.6138 	EXP 	fixation: autoDraw = False
86.6288 	EXP 	grating: autoDraw = True
86.6288 	EXP 	grating: tex = 'sin'
86.9289 	EXP 	grating: autoDraw = False
86.9664 	EXP 	window1: recordFrameIntervals = False
86.9693 	DATA 	Keypress: left
86.9789 	EXP 	fixation: autoDraw = False
86.9789 	EXP 	grating: autoDraw = False
86.9793 	EXP 	window1: recordFrameIntervals = False
87.9576 	EXP 	fixation: autoDraw = True
88.9622 	EXP 	fixation: autoDraw = False
88.9789 	EXP 	grating: autoDraw = True
88.9789 	EXP 	grating: tex = 'sin'
89.2788 	EXP 	grating: autoDraw = False
89.3996 	DATA 	Keypress: left
89.4162 	EXP 	window1: recordFrameIntervals = False
89.4289 	EXP 	fixation: autoDraw = False
89.4289 	EXP 	grating: autoDraw = False
89.4292 	EXP 	window1: recordFrameIntervals = False
90.4072 	EXP 	fixation: autoDraw = True
91.4121 	EXP 	fixation: autoDraw = False
91.4289 	EXP 	grating: autoDraw = True
91.4289 	EXP 	grating: tex = 'sin'
91.7288 	EXP 	grating: autoDraw = False
91.8662 	EXP 	window1: recordFrameIntervals = False
91.8689 	DATA 	Keypress: left
91.8789 	EXP 	fixation: autoDraw = False
91.8789 	EXP 	grating: autoDraw = False
91.8792 	EXP 	window1: recordFrameIntervals = False
92.8568 	EXP 	fixation: autoDraw = True
93.8620 	EXP 	fixation: autoDraw = False
93.8788 	EXP 	grating: autoDraw = True
93.8788 	EXP 	grating: tex = 'sin'
94.1786 	EXP 	grating: autoDraw = False
94.2490 	EXP 	window1: recordFrameIntervals = False
94.2515 	DATA 	Keypress: left
94.2620 	EXP 	fixation: autoDraw = False
94.2620 	EXP 	grating: autoDraw = False
94.2623 	EXP 	window1: recordFrameIntervals = False
95.2409 	EXP 	fixation: autoDraw = True
96.2454 	EXP 	fixation: autoDraw = False
96.2621 	EXP 	grating: autoDraw = True
96.2621 	EXP 	grating: tex = 'sin'
96.5620 	EXP 	grating: autoDraw = False
96.5996 	DATA 	Keypress: right
96.6161 	EXP 	window1: recordFrameIntervals = False
96.6287 	EXP 	fixation: autoDraw = False
96.6287 	EXP 	grating: autoDraw = False
96.6291 	EXP 	window1: recordFrameIntervals = False
97.6075 	EXP 	fixation: autoDraw = True
98.6120 	EXP 	fixation: autoDraw = False
98.6287 	EXP 	grating: autoDraw = True
98.6287 	EXP 	grating: tex = 'sin'
98.9286 	EXP 	grating: autoDraw = False
99.0340 	DATA 	Keypress: right
99.0495 	EXP 	window1: recordFrameIntervals = False
99.0619 	EXP 	fixation: autoDraw = False
99.0619 	EXP 	grating: autoDraw = False
99.0623 	EXP 	window1: recordFrameIntervals = False
100.0409 	EXP 	fixation: autoDraw = True
101.0453 	EXP 	fixation: autoDraw = False
101.0620 	EXP 	grating: autoDraw = True
101.0620 	EXP 	grating: tex = 'sin'
101.3619 	EXP 	grating: autoDraw = False
101.4327 	EXP 	window1: recordFrameIntervals = False
101.4355 	DATA 	Keypress: right
101.4453 	EXP 	fixation: autoDraw = False
101.4453 	EXP 	grating: autoDraw = False
101.4456 	EXP 	window1: recordFrameIntervals = False
102.4245 	EXP 	fixation: autoDraw = True
103.4285 	EXP 	fixation: autoDraw = False
103.4454 	EXP 	grating: autoDraw = True
103.4454 	EXP 	grating: tex = 'sin'
103.7452 	EXP 	grating: autoDraw = False
103.7992 	EXP 	window1: recordFrameIntervals = False
103.8018 	DATA 	Keypress: left
103.8119 	EXP 	fixation: autoDraw = False
103.8119 	EXP 	grating: autoDraw = False
103.8123 	EXP 	window1: recordFrameIntervals = False
104.7905 	EXP 	fixation: autoDraw = True
105.7952 	EXP 	fixation: autoDraw = False
105.8120 	EXP 	grating: autoDraw = True
105.8120 	EXP 	grating: tex = 'sin'
106.1132 	EXP 	grating: autoDraw = False
106.1994 	EXP 	window1: recordFrameIntervals = False
106.2021 	DATA 	Keypress: left
106.2119 	EXP 	fixation: autoDraw = False
106.2119 	EXP 	grating: autoDraw = False
106.2122 	EXP 	window1: recordFrameIntervals = False
107.1904 	EXP 	fixation: autoDraw = True
108.1952 	EXP 	fixation: autoDraw = False
108.2127 	EXP 	grating: autoDraw = True
108.2127 	EXP 	grating: tex = 'sin'
108.5280 	EXP 	grating: autoDraw = False
108.7995 	EXP 	window1: recordFrameIntervals = False
108.8024 	DATA 	Keypress: right
108.8118 	EXP 	fixation: autoDraw = False
108.8118 	EXP 	grating: autoDraw = False
108.8121 	EXP 	window1: recordFrameIntervals = False
109.7900 	EXP 	fixation: autoDraw = True
110.7947 	EXP 	fixation: autoDraw = False
110.8118 	EXP 	grating: autoDraw = True
110.8118 	EXP 	grating: tex = 'sin'
111.1117 	EXP 	grating: autoDraw = False
111.1826 	EXP 	window1: recordFrameIntervals = False
111.1853 	DATA 	Keypress: left
111.1951 	EXP 	fixation: autoDraw = False
111.1951 	EXP 	grating: autoDraw = False
111.1955 	EXP 	window1: recordFrameIntervals = False
112.1734 	EXP 	fixation: autoDraw = True
113.1784 	EXP 	fixation: autoDraw = False
113.1951 	EXP 	grating: autoDraw = True
113.1951 	EXP 	grating: tex = 'sin'
113.4950 	EXP 	grating: autoDraw = False
113.5157 	EXP 	window1: recordFrameIntervals = False
113.5184 	DATA 	Keypress: right
113.5283 	EXP 	fixation: autoDraw = False
113.5283 	EXP 	grating: autoDraw = False
113.5287 	EXP 	window1: recordFrameIntervals = False
114.5074 	EXP 	fixation: autoDraw = True
115.5118 	EXP 	fixation: autoDraw = False
115.5284 	EXP 	grating: autoDraw = True
115.5284 	EXP 	grating: tex = 'sin'
115.8282 	EXP 	grating: autoDraw = False
116.0324 	EXP 	window1: recordFrameIntervals = False
116.0352 	DATA 	Keypress: right
116.0450 	EXP 	fixation: autoDraw = False
116.0450 	EXP 	grating: autoDraw = False
116.0454 	EXP 	window1: recordFrameIntervals = False
117.0237 	EXP 	fixation: autoDraw = True
118.0283 	EXP 	fixation: autoDraw = False
118.0450 	EXP 	grating: autoDraw = True
118.0450 	EXP 	grating: tex = 'sin'
118.3449 	EXP 	grating: autoDraw = False
118.6489 	DATA 	Keypress: right
118.6656 	EXP 	window1: recordFrameIntervals = False
118.6783 	EXP 	fixation: autoDraw = False
118.6783 	EXP 	grating: autoDraw = False
118.6787 	EXP 	window1: recordFrameIntervals = False
119.6568 	EXP 	fixation: autoDraw = True
120.6615 	EXP 	fixation: autoDraw = False
120.6784 	EXP 	grating: autoDraw = True
120.6784 	EXP 	grating: tex = 'sin'
120.9782 	EXP 	grating: autoDraw = False
121.1324 	EXP 	window1: recordFrameIntervals = False
121.1351 	DATA 	Keypress: right
121.1449 	EXP 	fixation: autoDraw = False
121.1449 	EXP 	grating: autoDraw = False
121.1453 	EXP 	window1: recordFrameIntervals = False
122.1234 	EXP 	fixation: autoDraw = True
122.3466 	DATA 	Keypress: right
123.1284 	EXP 	fixation: autoDraw = False
123.1449 	EXP 	grating: autoDraw = True
123.1449 	EXP 	grating: tex = 'sin'
123.4446 	EXP 	grating: autoDraw = False
123.5971 	EXP 	window1: recordFrameIntervals = False
123.5986 	DATA 	Keypress: left
123.6111 	EXP 	fixation: autoDraw = False
123.6111 	EXP 	grating: autoDraw = False
123.6113 	EXP 	window1: recordFrameIntervals = False
124.5894 	EXP 	fixation: autoDraw = True
125.5948 	EXP 	fixation: autoDraw = False
125.6115 	EXP 	grating: autoDraw = True
125.6115 	EXP 	grating: tex = 'sin'
125.9115 	EXP 	grating: autoDraw = False
126.0981 	EXP 	window1: recordFrameIntervals = False
126.1006 	DATA 	Keypress: left
126.1113 	EXP 	fixation: autoDraw = False
126.1113 	EXP 	grating: autoDraw = False
126.1115 	EXP 	window1: recordFrameIntervals = False
127.0890 	EXP 	fixation: autoDraw = True
128.0947 	EXP 	fixation: autoDraw = False
128.1115 	EXP 	grating: autoDraw = True
128.1115 	EXP 	grating: tex = 'sin'
128.4110 	EXP 	grating: autoDraw = False
128.4964 	EXP 	window1: recordFrameIntervals = False
128.4976 	DATA 	Keypress: right
128.5112 	EXP 	fixation: autoDraw = False
128.5112 	EXP 	grating: autoDraw = False
128.5114 	EXP 	window1: recordFrameIntervals = False
129.2832 	DATA 	Keypress: left
129.5109 	EXP 	fixation: autoDraw = True
130.5114 	EXP 	fixation: autoDraw = False
130.5114 	EXP 	grating: autoDraw = True
130.5114 	EXP 	grating: tex = 'sin'
130.8114 	EXP 	grating: autoDraw = False
131.2993 	EXP 	window1: recordFrameIntervals = False
131.3029 	DATA 	Keypress: right
131.3114 	EXP 	fixation: autoDraw = False
131.3114 	EXP 	grating: autoDraw = False
131.3118 	EXP 	window1: recordFrameIntervals = False
132.2899 	EXP 	fixation: autoDraw = True
133.2946 	EXP 	fixation: autoDraw = False
